Geography,SUPPRESSION_FLAG,HOUSEHOLDS,PERSONS
C 58 04,RELEASE,13,44
C 58 05,RELEASE,50,155
C 58 06,RELEASE,67,218
C 58 07,SUPPRESS,2,0
C 58 08,RELEASE,15,56
C 58 09,RELEASE,13,36
C 58 12,SUPPRESS,4,0
C 58 17,SUPPRESS,8,0
C 58 18,SUPPRESS,5,0
C 58 19,SUPPRESS,12,0
C 58 20,RELEASE,15,49
C 58 21,RELEASE,22,48
C 59 00,SUPPRESS,1,0
C 59 01,SUPPRESS,7,0
C 59 02,RELEASE,79,226
C 59 03,RELEASE,13,44
C 59 04,RELEASE,11,32
C 59 05,RELEASE,16,55
C 59 06,RELEASE,13,42
C 59 07,SUPPRESS,5,0
C 59 08,SUPPRESS,3,0
C 59 09,RELEASE,15,47
C 59 10,SUPPRESS,1,0
C 59 12,SUPPRESS,1,0
C 59 18,SUPPRESS,6,0
C 59 19,SUPPRESS,1,0
C 59 20,RELEASE,15,50
C 59 21,RELEASE,13,33
C 59 22,SUPPRESS,1,0
C 60 00,RELEASE,15,64
C 60 01,SUPPRESS,14,0
C 60 02,RELEASE,13,46
C 60 03,SUPPRESS,10,0
C 60 04,SUPPRESS,3,0
C 60 05,RELEASE,12,32
C 60 06,SUPPRESS,6,0
C 60 07,SUPPRESS,3,0
C 60 08,SUPPRESS,5,0
C 60 09,RELEASE,12,35
C 60 10,SUPPRESS,8,0
C 60 13,SUPPRESS,2,0
C 60 14,SUPPRESS,3,0
C 60 15,SUPPRESS,1,0
C 60 17,RELEASE,13,41
C 60 18,SUPPRESS,3,0
C 60 19,SUPPRESS,13,0
C 60 20,SUPPRESS,6,0
C 60 21,SUPPRESS,4,0
C 60 22,SUPPRESS,2,0
C 61 00,SUPPRESS,2,0
C 61 01,SUPPRESS,4,0
C 61 02,SUPPRESS,7,0
C 61 03,SUPPRESS,6,0
C 61 04,SUPPRESS,9,0
C 61 05,SUPPRESS,4,0
C 61 09,RELEASE,49,138
C 61 10,SUPPRESS,4,0
C 61 14,SUPPRESS,1,0
C 61 15,SUPPRESS,3,0
C 61 17,SUPPRESS,8,0
C 61 18,RELEASE,51,155
C 61 19,RELEASE,21,64
C 61 20,RELEASE,13,38
C 61 21,RELEASE,124,340
C 61 22,RELEASE,456,1011
C 61 23,SUPPRESS,4,0
C 62 02,SUPPRESS,9,0
C 62 03,SUPPRESS,4,0
C 62 04,RELEASE,13,33
C 62 05,RELEASE,196,528
C 62 06,SUPPRESS,7,0
C 62 07,SUPPRESS,3,0
C 62 08,SUPPRESS,1,0
C 62 09,RELEASE,111,335
C 62 16,SUPPRESS,2,0
C 62 17,RELEASE,13,39
C 62 18,RELEASE,55,141
C 62 19,RELEASE,41,126
C 62 20,RELEASE,15,42
C 62 21,RELEASE,95,247
C 62 22,RELEASE,374,945
C 63 02,SUPPRESS,0,0
C 63 03,SUPPRESS,5,0
C 63 04,RELEASE,40,109
C 63 05,RELEASE,94,297
C 63 07,SUPPRESS,5,0
C 63 08,SUPPRESS,6,0
C 63 09,RELEASE,16,42
C 63 10,RELEASE,17,52
C 63 11,SUPPRESS,1,0
C 63 12,SUPPRESS,2,0
C 63 13,SUPPRESS,1,0
C 63 16,SUPPRESS,1,0
C 63 17,RELEASE,31,87
C 63 18,RELEASE,18,48
C 63 19,RELEASE,15,44
C 63 20,SUPPRESS,6,0
C 63 21,SUPPRESS,1,0
C 63 22,RELEASE,244,562
C 63 23,RELEASE,10,31
C 63 24,SUPPRESS,1,0
C 63 25,SUPPRESS,2,0
C 63 26,RELEASE,25,67
C 63 27,RELEASE,37,93
C 64 04,RELEASE,10,37
C 64 05,SUPPRESS,5,0
C 64 06,SUPPRESS,2,0
C 64 07,SUPPRESS,2,0
C 64 08,SUPPRESS,5,0
C 64 09,RELEASE,11,32
C 64 10,RELEASE,15,45
C 64 11,RELEASE,18,62
C 64 12,RELEASE,11,42
C 64 13,SUPPRESS,9,0
C 64 14,SUPPRESS,10,0
C 64 15,SUPPRESS,3,0
C 64 16,SUPPRESS,0,0
C 64 17,RELEASE,14,45
C 64 18,SUPPRESS,7,0
C 64 19,RELEASE,35,115
C 64 20,RELEASE,23,61
C 64 21,SUPPRESS,6,0
C 64 22,RELEASE,17,48
C 64 23,RELEASE,17,54
C 64 24,SUPPRESS,8,0
C 64 25,SUPPRESS,5,0
C 64 26,SUPPRESS,3,0
C 64 27,SUPPRESS,5,0
C 64 28,RELEASE,17,54
C 64 29,SUPPRESS,2,0
C 65 03,SUPPRESS,4,0
C 65 04,SUPPRESS,1,0
C 65 05,RELEASE,13,39
C 65 06,RELEASE,13,34
C 65 07,SUPPRESS,8,0
C 65 08,SUPPRESS,6,0
C 65 09,SUPPRESS,6,0
C 65 10,SUPPRESS,4,0
C 65 11,SUPPRESS,5,0
C 65 12,RELEASE,29,96
C 65 14,SUPPRESS,7,0
C 65 15,SUPPRESS,6,0
C 65 16,SUPPRESS,4,0
C 65 17,SUPPRESS,5,0
C 65 18,RELEASE,20,53
C 65 19,RELEASE,17,53
C 65 20,RELEASE,54,136
C 65 21,RELEASE,18,36
C 65 22,SUPPRESS,4,0
C 65 23,SUPPRESS,8,0
C 65 24,SUPPRESS,9,0
C 65 26,SUPPRESS,3,0
C 65 30,SUPPRESS,9,0
C 65 31,SUPPRESS,2,0
C 66 02,SUPPRESS,0,0
C 66 04,SUPPRESS,5,0
C 66 05,SUPPRESS,4,0
C 66 06,SUPPRESS,8,0
C 66 07,RELEASE,14,40
C 66 08,RELEASE,25,75
C 66 09,RELEASE,101,313
C 66 10,SUPPRESS,5,0
C 66 11,SUPPRESS,8,0
C 66 12,RELEASE,108,296
C 66 13,SUPPRESS,7,0
C 66 14,SUPPRESS,9,0
C 66 15,SUPPRESS,5,0
C 66 16,SUPPRESS,3,0
C 66 17,SUPPRESS,9,0
C 66 18,RELEASE,31,85
C 66 19,RELEASE,15,36
C 66 20,SUPPRESS,11,0
C 66 21,RELEASE,14,35
C 66 22,RELEASE,79,171
C 66 23,RELEASE,80,130
C 66 24,RELEASE,16,119
C 66 25,RELEASE,13,30
C 66 26,RELEASE,27,72
C 66 27,RELEASE,29,88
C 66 28,SUPPRESS,3,0
C 66 29,SUPPRESS,2,0
C 66 30,RELEASE,15,41
C 66 31,RELEASE,46,93
C 66 32,RELEASE,14,36
C 66 33,SUPPRESS,9,0
C 66 34,SUPPRESS,3,0
C 66 37,SUPPRESS,0,0
C 67 04,SUPPRESS,1,0
C 67 05,SUPPRESS,7,0
C 67 06,RELEASE,22,48
C 67 07,SUPPRESS,2,0
C 67 08,SUPPRESS,5,0
C 67 09,SUPPRESS,12,0
C 67 10,SUPPRESS,4,0
C 67 11,SUPPRESS,7,0
C 67 12,SUPPRESS,4,0
C 67 13,RELEASE,101,271
C 67 14,SUPPRESS,9,0
C 67 15,RELEASE,11,35
C 67 16,SUPPRESS,8,0
C 67 17,SUPPRESS,11,0
C 67 18,RELEASE,60,177
C 67 19,RELEASE,20,62
C 67 20,SUPPRESS,3,0
C 67 21,RELEASE,584,1266
C 67 22,RELEASE,1216,2512
C 67 23,RELEASE,472,945
C 67 24,SUPPRESS,3,0
C 67 25,RELEASE,53,146
C 67 26,RELEASE,13,35
C 67 27,SUPPRESS,6,0
C 67 28,RELEASE,16,45
C 67 29,SUPPRESS,8,0
C 67 30,SUPPRESS,8,0
C 67 31,RELEASE,17,43
C 67 32,RELEASE,123,307
C 67 33,RELEASE,39,130
C 67 34,SUPPRESS,3,0
C 67 35,SUPPRESS,1,0
C 68 06,SUPPRESS,3,0
C 68 07,RELEASE,19,52
C 68 08,SUPPRESS,9,0
C 68 09,RELEASE,220,480
C 68 10,SUPPRESS,5,0
C 68 11,RELEASE,13,46
C 68 12,SUPPRESS,2,0
C 68 13,RELEASE,15,42
C 68 14,SUPPRESS,6,0
C 68 15,SUPPRESS,5,0
C 68 16,SUPPRESS,2,0
C 68 17,SUPPRESS,7,0
C 68 18,RELEASE,13,33
C 68 19,RELEASE,17,48
C 68 20,RELEASE,63,126
C 68 21,RELEASE,807,2020
C 68 22,RELEASE,1474,3711
C 68 23,RELEASE,278,643
C 68 24,RELEASE,20,34
C 68 25,RELEASE,58,119
C 68 26,SUPPRESS,6,0
C 68 27,SUPPRESS,5,0
C 68 28,SUPPRESS,1,0
C 68 31,SUPPRESS,1,0
C 68 32,RELEASE,21,63
C 68 33,SUPPRESS,7,0
C 68 34,SUPPRESS,13,0
C 68 35,SUPPRESS,5,0
C 69 06,SUPPRESS,6,0
C 69 07,SUPPRESS,8,0
C 69 08,RELEASE,402,1142
C 69 09,RELEASE,655,1658
C 69 10,RELEASE,50,142
C 69 11,RELEASE,12,34
C 69 12,SUPPRESS,2,0
C 69 13,SUPPRESS,9,0
C 69 14,RELEASE,22,57
C 69 15,SUPPRESS,8,0
C 69 16,SUPPRESS,9,0
C 69 17,RELEASE,25,65
C 69 18,RELEASE,16,46
C 69 19,SUPPRESS,12,0
C 69 20,SUPPRESS,14,0
C 69 21,RELEASE,12,35
C 69 22,RELEASE,248,685
C 69 23,SUPPRESS,6,0
C 69 24,SUPPRESS,8,0
C 69 25,RELEASE,15,42
C 69 26,RELEASE,15,44
C 69 27,SUPPRESS,4,0
C 69 28,SUPPRESS,1,0
C 69 32,SUPPRESS,9,0
C 69 33,SUPPRESS,3,0
C 69 34,RELEASE,15,34
C 70 06,SUPPRESS,5,0
C 70 07,RELEASE,12,36
C 70 08,RELEASE,13,40
C 70 09,RELEASE,11,42
C 70 10,SUPPRESS,6,0
C 70 11,SUPPRESS,8,0
C 70 12,RELEASE,14,48
C 70 13,SUPPRESS,2,0
C 70 14,SUPPRESS,7,0
C 70 15,SUPPRESS,5,0
C 70 16,SUPPRESS,2,0
C 70 17,RELEASE,14,42
C 70 18,SUPPRESS,8,0
C 70 19,SUPPRESS,6,0
C 70 20,RELEASE,12,36
C 70 21,RELEASE,20,41
C 70 22,SUPPRESS,5,0
C 70 23,RELEASE,15,39
C 70 24,RELEASE,13,31
C 70 25,SUPPRESS,7,0
C 70 26,RELEASE,26,63
C 70 27,SUPPRESS,7,0
C 70 32,SUPPRESS,4,0
C 70 33,SUPPRESS,5,0
C 70 34,RELEASE,16,37
C 70 35,SUPPRESS,3,0
C 71 05,SUPPRESS,2,0
C 71 06,RELEASE,11,35
C 71 07,RELEASE,18,57
C 71 08,SUPPRESS,1,0
C 71 09,RELEASE,13,45
C 71 10,SUPPRESS,7,0
C 71 11,SUPPRESS,1,0
C 71 12,SUPPRESS,7,0
C 71 13,RELEASE,19,62
C 71 14,SUPPRESS,8,0
C 71 15,SUPPRESS,2,0
C 71 16,RELEASE,15,45
C 71 17,RELEASE,111,307
C 71 18,SUPPRESS,9,0
C 71 19,SUPPRESS,8,0
C 71 20,SUPPRESS,5,0
C 71 21,SUPPRESS,3,0
C 71 22,SUPPRESS,5,0
C 71 23,RELEASE,26,72
C 71 24,RELEASE,11,34
C 71 25,RELEASE,47,104
C 71 26,SUPPRESS,2,0
C 71 27,RELEASE,20,53
C 71 34,SUPPRESS,1,0
C 71 35,RELEASE,18,43
C 72 05,SUPPRESS,5,0
C 72 06,SUPPRESS,8,0
C 72 07,RELEASE,19,73
C 72 08,SUPPRESS,1,0
C 72 13,SUPPRESS,10,0
C 72 14,RELEASE,10,34
C 72 15,SUPPRESS,3,0
C 72 16,RELEASE,82,237
C 72 17,RELEASE,45,125
C 72 18,SUPPRESS,8,0
C 72 19,SUPPRESS,8,0
C 72 20,SUPPRESS,4,0
C 72 21,SUPPRESS,6,0
C 72 22,SUPPRESS,7,0
C 72 23,SUPPRESS,3,0
C 72 25,SUPPRESS,1,0
C 72 26,SUPPRESS,5,0
C 72 27,SUPPRESS,1,0
C 72 35,SUPPRESS,2,0
C 73 00,SUPPRESS,1,0
C 73 05,SUPPRESS,3,0
C 73 06,RELEASE,17,51
C 73 07,RELEASE,12,34
C 73 13,SUPPRESS,9,0
C 73 14,SUPPRESS,4,0
C 73 15,SUPPRESS,9,0
C 73 16,RELEASE,20,60
C 73 17,SUPPRESS,6,0
C 73 18,SUPPRESS,6,0
C 73 19,SUPPRESS,7,0
C 73 20,SUPPRESS,5,0
C 73 21,SUPPRESS,8,0
C 73 22,RELEASE,18,52
C 73 23,SUPPRESS,6,0
C 73 26,SUPPRESS,2,0
C 73 27,SUPPRESS,2,0
C 73 35,RELEASE,11,30
C 74 05,SUPPRESS,5,0
C 74 06,SUPPRESS,4,0
C 74 13,SUPPRESS,8,0
C 74 14,SUPPRESS,9,0
C 74 15,SUPPRESS,10,0
C 74 16,RELEASE,12,36
C 74 23,SUPPRESS,5,0
C 74 31,SUPPRESS,1,0
C 74 32,SUPPRESS,2,0
C 74 33,RELEASE,16,42
C 74 34,RELEASE,19,50
C 74 35,SUPPRESS,3,0
C 74 36,SUPPRESS,5,0
