Geography,SUPPRESSION_FLAG,HOUSEHOLDS,PERSONS
H 71 82,SUPPRESS,2,0
H 71 87,SUPPRESS,1,0
H 71 88,SUPPRESS,2,0
H 71 89,RELEASE,10,44
H 71 90,SUPPRESS,7,0
H 72 46,SUPPRESS,7,0
H 72 47,SUPPRESS,7,0
H 72 48,SUPPRESS,5,0
H 72 49,SUPPRESS,9,0
H 72 50,SUPPRESS,7,0
H 72 51,SUPPRESS,6,0
H 72 52,SUPPRESS,10,0
H 72 53,RELEASE,14,43
H 72 54,SUPPRESS,10,0
H 72 55,SUPPRESS,7,0
H 72 56,SUPPRESS,6,0
H 72 57,RELEASE,18,45
H 72 58,SUPPRESS,7,0
H 72 59,RELEASE,25,71
H 72 60,RELEASE,40,105
H 72 61,RELEASE,19,55
H 72 62,RELEASE,10,31
H 72 63,RELEASE,18,49
H 72 64,RELEASE,14,39
H 72 65,RELEASE,40,141
H 72 66,RELEASE,33,95
H 72 67,RELEASE,18,52
H 72 68,RELEASE,16,51
H 72 69,RELEASE,12,41
H 72 70,RELEASE,19,52
H 72 71,RELEASE,16,45
H 72 72,RELEASE,14,49
H 72 73,RELEASE,26,78
H 72 74,RELEASE,15,62
H 72 75,RELEASE,10,33
H 72 76,RELEASE,28,78
H 72 77,SUPPRESS,5,0
H 72 78,RELEASE,30,94
H 72 79,SUPPRESS,6,0
H 72 80,RELEASE,18,61
H 72 81,SUPPRESS,8,0
H 72 82,SUPPRESS,6,0
H 72 83,SUPPRESS,1,0
H 72 89,SUPPRESS,2,0
H 72 90,SUPPRESS,9,0
H 72 91,SUPPRESS,1,0
H 72 92,SUPPRESS,1,0
H 72 93,RELEASE,16,60
H 73 36,SUPPRESS,2,0
H 73 37,SUPPRESS,2,0
H 73 45,SUPPRESS,10,0
H 73 47,SUPPRESS,8,0
H 73 48,SUPPRESS,9,0
H 73 49,SUPPRESS,8,0
H 73 50,SUPPRESS,8,0
H 73 51,SUPPRESS,0,0
H 73 52,SUPPRESS,8,0
H 73 53,SUPPRESS,9,0
H 73 54,RELEASE,14,50
H 73 55,RELEASE,14,72
H 73 56,SUPPRESS,6,0
H 73 57,RELEASE,13,47
H 73 58,RELEASE,25,75
H 73 59,RELEASE,23,67
H 73 60,RELEASE,13,35
H 73 61,SUPPRESS,7,0
H 73 62,SUPPRESS,7,0
H 73 63,RELEASE,17,53
H 73 64,SUPPRESS,8,0
H 73 65,RELEASE,15,49
H 73 66,RELEASE,13,38
H 73 67,RELEASE,12,42
H 73 68,RELEASE,21,64
H 73 69,SUPPRESS,9,0
H 73 70,RELEASE,22,80
H 73 71,SUPPRESS,6,0
H 73 72,RELEASE,14,48
H 73 73,RELEASE,15,42
H 73 74,RELEASE,16,46
H 73 75,SUPPRESS,10,0
H 73 76,SUPPRESS,9,0
H 73 77,RELEASE,11,33
H 73 78,RELEASE,22,74
H 73 79,RELEASE,15,39
H 73 80,RELEASE,14,36
H 73 81,SUPPRESS,2,0
H 73 82,SUPPRESS,4,0
H 73 83,SUPPRESS,3,0
H 73 84,SUPPRESS,1,0
H 73 89,SUPPRESS,1,0
H 73 90,SUPPRESS,12,0
H 73 91,RELEASE,11,41
H 73 92,RELEASE,21,66
H 73 93,RELEASE,19,63
H 73 96,SUPPRESS,1,0
H 73 97,RELEASE,12,41
H 73 98,RELEASE,20,74
H 73 99,SUPPRESS,1,0
H 74 35,SUPPRESS,2,0
H 74 36,SUPPRESS,9,0
H 74 37,RELEASE,13,34
H 74 38,SUPPRESS,1,0
H 74 39,SUPPRESS,3,0
H 74 40,SUPPRESS,2,0
H 74 41,SUPPRESS,2,0
H 74 42,SUPPRESS,7,0
H 74 43,SUPPRESS,6,0
H 74 44,SUPPRESS,3,0
H 74 45,SUPPRESS,5,0
H 74 46,SUPPRESS,3,0
H 74 47,SUPPRESS,10,0
H 74 49,SUPPRESS,1,0
H 74 50,SUPPRESS,1,0
H 74 51,SUPPRESS,4,0
H 74 52,RELEASE,24,87
H 74 53,SUPPRESS,8,0
H 74 54,SUPPRESS,6,0
H 74 55,SUPPRESS,6,0
H 74 56,RELEASE,11,35
H 74 57,RELEASE,16,50
H 74 58,RELEASE,23,63
H 74 59,RELEASE,11,41
H 74 60,SUPPRESS,12,0
H 74 61,RELEASE,25,88
H 74 62,RELEASE,14,55
H 74 63,RELEASE,16,54
H 74 64,RELEASE,18,66
H 74 65,RELEASE,10,31
H 74 66,SUPPRESS,8,0
H 74 67,RELEASE,18,51
H 74 68,RELEASE,11,82
H 74 69,SUPPRESS,6,0
H 74 70,SUPPRESS,7,0
H 74 71,RELEASE,12,36
H 74 72,RELEASE,16,47
H 74 73,RELEASE,11,32
H 74 74,RELEASE,33,116
H 74 75,SUPPRESS,8,0
H 74 76,RELEASE,27,83
H 74 77,SUPPRESS,9,0
H 74 78,RELEASE,18,44
H 74 79,RELEASE,16,38
H 74 80,RELEASE,16,50
H 74 81,SUPPRESS,9,0
H 74 82,SUPPRESS,5,0
H 74 83,SUPPRESS,3,0
H 74 89,SUPPRESS,4,0
H 74 91,RELEASE,14,48
H 74 92,SUPPRESS,6,0
H 74 93,RELEASE,16,55
H 74 94,RELEASE,22,69
H 74 95,RELEASE,14,53
H 74 96,RELEASE,17,45
H 74 97,RELEASE,16,68
H 74 98,SUPPRESS,8,0
H 75 35,SUPPRESS,8,0
H 75 36,RELEASE,13,48
H 75 37,RELEASE,20,51
H 75 38,RELEASE,116,299
H 75 39,SUPPRESS,8,0
H 75 40,SUPPRESS,7,0
H 75 42,SUPPRESS,2,0
H 75 43,SUPPRESS,1,0
H 75 44,SUPPRESS,2,0
H 75 45,RELEASE,227,523
H 75 46,SUPPRESS,8,0
H 75 47,SUPPRESS,5,0
H 75 49,SUPPRESS,5,0
H 75 50,SUPPRESS,3,0
H 75 51,RELEASE,15,48
H 75 52,RELEASE,16,46
H 75 53,SUPPRESS,7,0
H 75 54,RELEASE,14,50
H 75 55,RELEASE,22,76
H 75 56,SUPPRESS,9,0
H 75 57,RELEASE,11,32
H 75 58,RELEASE,25,64
H 75 59,RELEASE,23,70
H 75 60,SUPPRESS,11,0
H 75 61,RELEASE,10,35
H 75 62,RELEASE,307,842
H 75 63,RELEASE,101,245
H 75 64,RELEASE,14,38
H 75 65,RELEASE,13,38
H 75 66,RELEASE,18,47
H 75 67,RELEASE,18,52
H 75 68,SUPPRESS,5,0
H 75 69,RELEASE,12,42
H 75 70,SUPPRESS,7,0
H 75 71,RELEASE,11,34
H 75 72,RELEASE,47,116
H 75 73,RELEASE,14,52
H 75 74,RELEASE,10,34
H 75 75,SUPPRESS,8,0
H 75 76,RELEASE,13,37
H 75 77,SUPPRESS,5,0
H 75 78,RELEASE,15,42
H 75 79,RELEASE,17,43
H 75 80,RELEASE,20,68
H 75 81,RELEASE,14,35
H 75 82,RELEASE,12,30
H 75 83,SUPPRESS,9,0
H 75 84,SUPPRESS,1,0
H 75 87,SUPPRESS,3,0
H 75 91,SUPPRESS,2,0
H 75 92,RELEASE,18,45
H 75 93,SUPPRESS,7,0
H 75 94,RELEASE,17,63
H 75 95,RELEASE,26,75
H 75 96,RELEASE,67,191
H 75 97,RELEASE,55,137
H 75 98,RELEASE,18,45
H 76 33,SUPPRESS,3,0
H 76 34,SUPPRESS,7,0
H 76 35,SUPPRESS,6,0
H 76 36,RELEASE,10,40
H 76 37,SUPPRESS,8,0
H 76 38,RELEASE,24,68
H 76 39,SUPPRESS,7,0
H 76 40,SUPPRESS,4,0
H 76 41,SUPPRESS,7,0
H 76 42,RELEASE,27,74
H 76 43,RELEASE,32,78
H 76 44,SUPPRESS,8,0
H 76 45,SUPPRESS,6,0
H 76 46,SUPPRESS,7,0
H 76 47,SUPPRESS,3,0
H 76 48,SUPPRESS,5,0
H 76 49,RELEASE,15,36
H 76 50,RELEASE,14,33
H 76 51,RELEASE,10,39
H 76 52,SUPPRESS,12,0
H 76 53,SUPPRESS,6,0
H 76 54,SUPPRESS,10,0
H 76 55,RELEASE,14,45
H 76 56,SUPPRESS,3,0
H 76 57,RELEASE,24,80
H 76 58,RELEASE,20,52
H 76 59,SUPPRESS,11,0
H 76 60,SUPPRESS,7,0
H 76 61,SUPPRESS,8,0
H 76 62,RELEASE,16,54
H 76 63,SUPPRESS,8,0
H 76 64,RELEASE,16,41
H 76 65,RELEASE,151,404
H 76 66,RELEASE,23,64
H 76 67,SUPPRESS,7,0
H 76 68,SUPPRESS,9,0
H 76 69,RELEASE,17,56
H 76 70,RELEASE,13,48
H 76 71,SUPPRESS,6,0
H 76 72,SUPPRESS,2,0
H 76 73,SUPPRESS,9,0
H 76 74,RELEASE,11,33
H 76 75,RELEASE,13,43
H 76 76,RELEASE,22,63
H 76 77,RELEASE,19,55
H 76 78,SUPPRESS,8,0
H 76 79,RELEASE,61,165
H 76 80,RELEASE,20,72
H 76 81,SUPPRESS,5,0
H 76 82,SUPPRESS,9,0
H 76 83,RELEASE,14,47
H 76 84,SUPPRESS,4,0
H 76 85,SUPPRESS,3,0
H 76 86,RELEASE,12,42
H 76 87,SUPPRESS,9,0
H 76 89,SUPPRESS,2,0
H 76 90,SUPPRESS,4,0
H 76 91,SUPPRESS,9,0
H 76 92,RELEASE,21,55
H 76 93,RELEASE,155,464
H 76 94,RELEASE,26,98
H 76 95,RELEASE,19,52
H 76 96,RELEASE,14,58
H 76 97,RELEASE,15,47
H 76 98,SUPPRESS,2,0
H 77 31,SUPPRESS,2,0
H 77 32,RELEASE,12,32
H 77 33,SUPPRESS,5,0
H 77 34,SUPPRESS,7,0
H 77 35,RELEASE,11,37
H 77 36,RELEASE,18,50
H 77 37,RELEASE,18,62
H 77 38,RELEASE,31,85
H 77 39,SUPPRESS,8,0
H 77 40,SUPPRESS,9,0
H 77 41,SUPPRESS,7,0
H 77 42,SUPPRESS,7,0
H 77 43,SUPPRESS,4,0
H 77 44,SUPPRESS,7,0
H 77 45,SUPPRESS,9,0
H 77 46,SUPPRESS,8,0
H 77 48,SUPPRESS,3,0
H 77 49,SUPPRESS,2,0
H 77 51,SUPPRESS,2,0
H 77 52,RELEASE,22,61
H 77 53,RELEASE,19,54
H 77 54,SUPPRESS,7,0
H 77 55,RELEASE,11,39
H 77 56,RELEASE,87,282
H 77 57,RELEASE,18,56
H 77 58,RELEASE,18,47
H 77 59,RELEASE,12,33
H 77 60,RELEASE,131,348
H 77 61,RELEASE,22,73
H 77 62,RELEASE,30,67
H 77 63,RELEASE,30,80
H 77 64,RELEASE,191,474
H 77 65,RELEASE,183,471
H 77 66,RELEASE,18,58
H 77 67,RELEASE,22,75
H 77 68,RELEASE,14,55
H 77 69,SUPPRESS,6,0
H 77 70,SUPPRESS,9,0
H 77 71,RELEASE,13,38
H 77 72,SUPPRESS,9,0
H 77 73,SUPPRESS,4,0
H 77 74,SUPPRESS,8,0
H 77 75,SUPPRESS,5,0
H 77 76,RELEASE,16,40
H 77 77,RELEASE,18,53
H 77 78,RELEASE,19,59
H 77 79,RELEASE,32,88
H 77 80,SUPPRESS,14,0
H 77 81,SUPPRESS,5,0
H 77 82,RELEASE,13,43
H 77 83,RELEASE,27,80
H 77 84,RELEASE,24,64
H 77 85,RELEASE,15,44
H 77 86,SUPPRESS,4,0
H 77 87,SUPPRESS,2,0
H 77 89,SUPPRESS,1,0
H 77 90,SUPPRESS,7,0
H 77 91,RELEASE,11,38
H 77 92,RELEASE,11,36
H 77 93,RELEASE,23,69
H 77 94,RELEASE,122,358
H 77 95,RELEASE,24,65
H 77 96,RELEASE,16,55
H 77 97,RELEASE,10,36
H 77 98,SUPPRESS,8,0
H 78 30,SUPPRESS,5,0
H 78 31,RELEASE,12,45
H 78 32,RELEASE,17,52
H 78 33,SUPPRESS,11,0
H 78 34,SUPPRESS,9,0
H 78 35,SUPPRESS,9,0
H 78 36,SUPPRESS,9,0
H 78 37,RELEASE,18,57
H 78 38,RELEASE,11,36
H 78 39,RELEASE,28,79
H 78 40,SUPPRESS,5,0
H 78 41,RELEASE,14,48
H 78 42,SUPPRESS,5,0
H 78 43,SUPPRESS,6,0
H 78 44,RELEASE,24,71
H 78 45,SUPPRESS,10,0
H 78 46,SUPPRESS,10,0
H 78 47,SUPPRESS,7,0
H 78 48,SUPPRESS,9,0
H 78 49,SUPPRESS,7,0
H 78 50,RELEASE,20,55
H 78 51,RELEASE,13,42
H 78 52,SUPPRESS,7,0
H 78 53,RELEASE,13,42
H 78 54,RELEASE,13,31
H 78 55,RELEASE,19,66
H 78 56,RELEASE,100,306
H 78 57,RELEASE,27,96
H 78 58,RELEASE,13,35
H 78 59,SUPPRESS,10,0
H 78 60,RELEASE,19,55
H 78 61,RELEASE,28,73
H 78 62,RELEASE,586,1723
H 78 63,RELEASE,431,1230
H 78 64,RELEASE,21,57
H 78 65,RELEASE,13,32
H 78 66,RELEASE,23,68
H 78 67,RELEASE,29,90
H 78 68,RELEASE,30,90
H 78 69,RELEASE,15,44
H 78 70,SUPPRESS,9,0
H 78 71,SUPPRESS,8,0
H 78 72,RELEASE,59,148
H 78 73,SUPPRESS,11,0
H 78 74,SUPPRESS,6,0
H 78 75,RELEASE,16,50
H 78 76,SUPPRESS,6,0
H 78 77,SUPPRESS,11,0
H 78 78,RELEASE,19,56
H 78 79,RELEASE,16,43
H 78 80,RELEASE,13,33
H 78 81,RELEASE,27,67
H 78 82,RELEASE,21,60
H 78 83,RELEASE,11,44
H 78 84,RELEASE,13,43
H 78 85,SUPPRESS,8,0
H 78 86,SUPPRESS,1,0
H 78 90,SUPPRESS,1,0
H 78 91,RELEASE,18,55
H 78 92,RELEASE,15,59
H 78 93,RELEASE,15,37
H 78 94,RELEASE,501,1176
H 78 95,RELEASE,127,410
H 78 96,SUPPRESS,5,0
H 78 97,RELEASE,15,45
H 78 98,RELEASE,18,61
H 78 99,SUPPRESS,2,0
H 79 28,SUPPRESS,2,0
H 79 29,SUPPRESS,11,0
H 79 30,RELEASE,20,70
H 79 31,RELEASE,14,57
H 79 32,RELEASE,10,34
H 79 33,SUPPRESS,4,0
H 79 34,SUPPRESS,3,0
H 79 35,RELEASE,10,39
H 79 36,RELEASE,23,57
H 79 38,RELEASE,15,40
H 79 39,SUPPRESS,9,0
H 79 40,SUPPRESS,11,0
H 79 41,SUPPRESS,3,0
H 79 42,SUPPRESS,8,0
H 79 43,SUPPRESS,3,0
H 79 44,RELEASE,114,250
H 79 45,RELEASE,28,76
H 79 46,RELEASE,10,39
H 79 47,SUPPRESS,8,0
H 79 48,RELEASE,15,43
H 79 49,SUPPRESS,9,0
H 79 50,RELEASE,32,81
H 79 51,RELEASE,17,60
H 79 52,SUPPRESS,8,0
H 79 53,SUPPRESS,2,0
H 79 54,SUPPRESS,6,0
H 79 55,RELEASE,21,65
H 79 56,RELEASE,25,72
H 79 57,RELEASE,14,33
H 79 58,RELEASE,14,40
H 79 59,SUPPRESS,8,0
H 79 60,RELEASE,139,428
H 79 61,RELEASE,255,715
H 79 62,RELEASE,1035,2541
H 79 63,RELEASE,493,1310
H 79 64,RELEASE,23,63
H 79 65,RELEASE,29,74
H 79 66,RELEASE,26,79
H 79 67,RELEASE,18,50
H 79 68,RELEASE,21,55
H 79 69,RELEASE,23,72
H 79 70,RELEASE,17,52
H 79 71,RELEASE,13,32
H 79 72,RELEASE,19,67
H 79 73,SUPPRESS,8,0
H 79 74,SUPPRESS,4,0
H 79 75,SUPPRESS,3,0
H 79 76,RELEASE,19,54
H 79 77,RELEASE,35,100
H 79 78,RELEASE,101,259
H 79 79,SUPPRESS,11,0
H 79 80,SUPPRESS,8,0
H 79 81,RELEASE,10,30
H 79 82,SUPPRESS,3,0
H 79 83,RELEASE,23,58
H 79 84,RELEASE,19,64
H 79 85,RELEASE,21,63
H 79 91,SUPPRESS,6,0
H 79 92,RELEASE,13,45
H 79 93,RELEASE,13,41
H 79 94,RELEASE,16,48
H 79 95,RELEASE,14,49
H 79 96,SUPPRESS,9,0
H 79 97,RELEASE,10,40
H 79 98,RELEASE,19,64
H 79 99,RELEASE,18,58
H 80 28,SUPPRESS,6,0
H 80 29,SUPPRESS,8,0
H 80 30,RELEASE,11,34
H 80 31,RELEASE,31,89
H 80 32,RELEASE,27,64
H 80 33,SUPPRESS,8,0
H 80 34,SUPPRESS,6,0
H 80 35,SUPPRESS,3,0
H 80 36,RELEASE,14,46
H 80 37,RELEASE,16,40
H 80 38,SUPPRESS,6,0
H 80 39,SUPPRESS,8,0
H 80 40,RELEASE,12,34
H 80 41,RELEASE,12,43
H 80 42,SUPPRESS,8,0
H 80 43,RELEASE,11,35
H 80 44,SUPPRESS,2,0
H 80 45,RELEASE,16,51
H 80 46,SUPPRESS,3,0
H 80 47,RELEASE,15,51
H 80 48,SUPPRESS,8,0
H 80 49,SUPPRESS,6,0
H 80 50,RELEASE,38,110
H 80 51,RELEASE,61,186
H 80 52,RELEASE,26,83
H 80 53,RELEASE,17,52
H 80 54,RELEASE,21,66
H 80 55,RELEASE,24,90
H 80 56,RELEASE,19,54
H 80 57,SUPPRESS,7,0
H 80 58,SUPPRESS,10,0
H 80 59,RELEASE,119,235
H 80 60,RELEASE,264,566
H 80 61,RELEASE,517,1400
H 80 62,RELEASE,554,1572
H 80 63,RELEASE,782,2246
H 80 64,RELEASE,64,186
H 80 65,RELEASE,13,34
H 80 66,RELEASE,17,43
H 80 67,RELEASE,18,56
H 80 68,RELEASE,20,51
H 80 69,RELEASE,26,79
H 80 70,RELEASE,19,56
H 80 71,SUPPRESS,10,0
H 80 72,RELEASE,16,44
H 80 73,RELEASE,19,52
H 80 74,SUPPRESS,4,0
H 80 75,SUPPRESS,3,0
H 80 76,RELEASE,248,696
H 80 77,RELEASE,848,2328
H 80 78,RELEASE,1221,3052
H 80 79,RELEASE,459,1062
H 80 80,RELEASE,24,64
H 80 81,RELEASE,12,40
H 80 82,RELEASE,42,103
H 80 83,RELEASE,15,43
H 80 84,RELEASE,11,40
H 80 85,RELEASE,20,69
H 80 86,SUPPRESS,2,0
H 80 90,SUPPRESS,1,0
H 80 91,SUPPRESS,2,0
H 80 92,RELEASE,18,53
H 80 93,RELEASE,26,92
H 80 94,SUPPRESS,8,0
H 80 95,RELEASE,14,36
H 80 96,RELEASE,13,41
H 80 97,RELEASE,12,42
H 80 98,RELEASE,33,104
H 80 99,RELEASE,25,86
H 81 27,SUPPRESS,2,0
H 81 28,SUPPRESS,2,0
H 81 29,SUPPRESS,7,0
H 81 30,RELEASE,13,44
H 81 31,RELEASE,18,61
H 81 32,RELEASE,15,33
H 81 33,RELEASE,11,36
H 81 34,SUPPRESS,8,0
H 81 35,SUPPRESS,7,0
H 81 36,RELEASE,17,53
H 81 37,SUPPRESS,7,0
H 81 38,RELEASE,39,97
H 81 39,RELEASE,33,110
H 81 40,SUPPRESS,7,0
H 81 41,SUPPRESS,6,0
H 81 42,RELEASE,14,46
H 81 43,SUPPRESS,6,0
H 81 44,SUPPRESS,7,0
H 81 45,RELEASE,13,36
H 81 46,RELEASE,13,36
H 81 47,RELEASE,16,48
H 81 48,RELEASE,12,36
H 81 49,RELEASE,40,130
H 81 50,RELEASE,27,79
H 81 51,SUPPRESS,8,0
H 81 52,RELEASE,160,472
H 81 53,RELEASE,14,41
H 81 54,RELEASE,16,32
H 81 55,RELEASE,20,63
H 81 56,RELEASE,22,70
H 81 57,RELEASE,13,38
H 81 58,RELEASE,20,62
H 81 59,SUPPRESS,11,0
H 81 60,RELEASE,102,220
H 81 61,RELEASE,472,1357
H 81 62,RELEASE,240,749
H 81 63,RELEASE,20,61
H 81 64,RELEASE,27,65
H 81 65,RELEASE,30,100
H 81 66,RELEASE,24,75
H 81 67,RELEASE,174,448
H 81 68,RELEASE,156,427
H 81 69,RELEASE,11,33
H 81 70,RELEASE,20,63
H 81 71,RELEASE,30,83
H 81 72,SUPPRESS,6,0
H 81 73,RELEASE,23,49
H 81 74,RELEASE,14,72
H 81 75,RELEASE,98,204
H 81 76,RELEASE,188,510
H 81 77,RELEASE,1043,2449
H 81 78,RELEASE,721,1643
H 81 79,RELEASE,187,558
H 81 80,SUPPRESS,9,0
H 81 81,SUPPRESS,9,0
H 81 82,RELEASE,12,30
H 81 83,RELEASE,10,31
H 81 84,SUPPRESS,8,0
H 81 85,RELEASE,23,78
H 81 86,RELEASE,14,50
H 81 91,RELEASE,10,36
H 81 92,RELEASE,28,98
H 81 93,RELEASE,18,68
H 81 94,SUPPRESS,11,0
H 81 95,RELEASE,30,73
H 81 96,SUPPRESS,12,0
H 81 97,RELEASE,11,46
H 81 98,RELEASE,18,44
H 81 99,RELEASE,12,37
H 82 26,SUPPRESS,1,0
H 82 27,RELEASE,17,63
H 82 28,RELEASE,10,37
H 82 29,SUPPRESS,8,0
H 82 30,SUPPRESS,8,0
H 82 31,RELEASE,18,56
H 82 32,RELEASE,11,41
H 82 33,RELEASE,20,54
H 82 34,RELEASE,17,59
H 82 35,RELEASE,20,71
H 82 36,RELEASE,11,36
H 82 37,RELEASE,13,36
H 82 38,RELEASE,11,37
H 82 39,RELEASE,10,35
H 82 40,RELEASE,21,80
H 82 41,RELEASE,12,33
H 82 42,SUPPRESS,3,0
H 82 43,SUPPRESS,9,0
H 82 44,SUPPRESS,7,0
H 82 45,RELEASE,15,40
H 82 46,RELEASE,21,50
H 82 47,RELEASE,11,34
H 82 48,RELEASE,19,53
H 82 49,RELEASE,45,136
H 82 50,RELEASE,12,38
H 82 51,RELEASE,13,54
H 82 52,RELEASE,21,62
H 82 53,RELEASE,12,30
H 82 54,RELEASE,17,43
H 82 55,SUPPRESS,8,0
H 82 56,SUPPRESS,8,0
H 82 57,RELEASE,14,42
H 82 58,RELEASE,73,175
H 82 59,RELEASE,39,108
H 82 60,RELEASE,15,43
H 82 61,RELEASE,17,49
H 82 62,RELEASE,17,47
H 82 63,RELEASE,214,602
H 82 64,RELEASE,27,75
H 82 65,RELEASE,105,278
H 82 66,RELEASE,103,312
H 82 67,RELEASE,34,104
H 82 68,SUPPRESS,7,0
H 82 69,RELEASE,13,34
H 82 70,SUPPRESS,7,0
H 82 71,SUPPRESS,10,0
H 82 72,SUPPRESS,6,0
H 82 73,RELEASE,87,209
H 82 74,SUPPRESS,6,0
H 82 75,RELEASE,12,32
H 82 76,SUPPRESS,6,0
H 82 77,RELEASE,23,62
H 82 78,RELEASE,23,50
H 82 79,RELEASE,14,35
H 82 80,RELEASE,29,85
H 82 81,SUPPRESS,9,0
H 82 82,SUPPRESS,4,0
H 82 83,SUPPRESS,6,0
H 82 84,SUPPRESS,8,0
H 82 85,SUPPRESS,2,0
H 82 86,RELEASE,15,44
H 82 87,SUPPRESS,1,0
H 82 89,SUPPRESS,1,0
H 82 90,SUPPRESS,3,0
H 82 91,RELEASE,27,104
H 82 92,RELEASE,26,90
H 82 93,RELEASE,17,44
H 82 94,SUPPRESS,10,0
H 82 95,SUPPRESS,6,0
H 82 96,RELEASE,151,344
H 82 97,SUPPRESS,10,0
H 82 98,RELEASE,17,48
H 82 99,RELEASE,29,73
H 83 26,SUPPRESS,4,0
H 83 27,RELEASE,11,34
H 83 28,SUPPRESS,11,0
H 83 29,SUPPRESS,6,0
H 83 30,RELEASE,19,56
H 83 31,RELEASE,31,106
H 83 32,SUPPRESS,6,0
H 83 33,RELEASE,19,34
H 83 34,SUPPRESS,12,0
H 83 35,RELEASE,12,32
H 83 36,RELEASE,17,48
H 83 37,SUPPRESS,5,0
H 83 38,RELEASE,29,99
H 83 39,RELEASE,22,77
H 83 40,SUPPRESS,6,0
H 83 41,RELEASE,23,61
H 83 42,SUPPRESS,8,0
H 83 43,RELEASE,17,59
H 83 44,RELEASE,11,39
H 83 45,SUPPRESS,5,0
H 83 46,RELEASE,22,70
H 83 47,RELEASE,24,72
H 83 48,RELEASE,21,70
H 83 49,RELEASE,13,45
H 83 50,SUPPRESS,9,0
H 83 51,SUPPRESS,1,0
H 83 52,RELEASE,20,61
H 83 53,RELEASE,19,50
H 83 54,RELEASE,19,72
H 83 55,RELEASE,13,40
H 83 56,RELEASE,40,98
H 83 57,RELEASE,27,72
H 83 58,SUPPRESS,8,0
H 83 59,RELEASE,13,31
H 83 60,RELEASE,17,50
H 83 61,RELEASE,45,121
H 83 62,RELEASE,23,66
H 83 63,RELEASE,25,73
H 83 64,RELEASE,30,91
H 83 65,RELEASE,172,540
H 83 66,RELEASE,261,536
H 83 67,RELEASE,300,732
H 83 68,SUPPRESS,10,0
H 83 69,RELEASE,15,59
H 83 70,SUPPRESS,9,0
H 83 71,SUPPRESS,5,0
H 83 72,SUPPRESS,9,0
H 83 73,SUPPRESS,4,0
H 83 74,RELEASE,15,42
H 83 75,RELEASE,15,41
H 83 76,RELEASE,15,37
H 83 77,SUPPRESS,5,0
H 83 78,RELEASE,15,42
H 83 79,SUPPRESS,7,0
H 83 80,SUPPRESS,9,0
H 83 81,RELEASE,14,44
H 83 82,RELEASE,19,50
H 83 83,SUPPRESS,12,0
H 83 84,RELEASE,19,48
H 83 85,SUPPRESS,5,0
H 83 86,SUPPRESS,8,0
H 83 87,RELEASE,17,51
H 83 88,RELEASE,15,55
H 83 89,RELEASE,15,60
H 83 90,RELEASE,31,99
H 83 91,RELEASE,34,90
H 83 92,RELEASE,16,61
H 83 93,SUPPRESS,7,0
H 83 94,SUPPRESS,8,0
H 83 95,SUPPRESS,12,0
H 83 96,RELEASE,197,482
H 83 97,RELEASE,16,49
H 83 98,SUPPRESS,8,0
H 83 99,SUPPRESS,7,0
H 84 28,RELEASE,14,38
H 84 29,RELEASE,21,63
H 84 30,RELEASE,13,41
H 84 31,RELEASE,11,30
H 84 32,RELEASE,19,53
H 84 33,RELEASE,310,732
H 84 34,RELEASE,694,1669
H 84 35,RELEASE,18,122
H 84 36,SUPPRESS,6,0
H 84 37,RELEASE,10,32
H 84 38,RELEASE,19,56
H 84 39,RELEASE,15,52
H 84 40,SUPPRESS,8,0
H 84 41,RELEASE,16,62
H 84 42,SUPPRESS,9,0
H 84 43,SUPPRESS,9,0
H 84 44,SUPPRESS,7,0
H 84 45,SUPPRESS,3,0
H 84 46,RELEASE,17,47
H 84 47,SUPPRESS,10,0
H 84 48,RELEASE,19,69
H 84 49,RELEASE,17,44
H 84 50,RELEASE,15,50
H 84 51,RELEASE,15,45
H 84 52,RELEASE,230,625
H 84 53,SUPPRESS,7,0
H 84 54,SUPPRESS,8,0
H 84 55,RELEASE,46,125
H 84 56,RELEASE,539,1388
H 84 57,SUPPRESS,10,0
H 84 58,RELEASE,24,77
H 84 59,RELEASE,23,60
H 84 60,RELEASE,42,112
H 84 61,RELEASE,358,980
H 84 62,RELEASE,21,70
H 84 63,RELEASE,44,128
H 84 64,RELEASE,57,154
H 84 65,RELEASE,383,1035
H 84 66,RELEASE,982,2488
H 84 67,RELEASE,198,556
H 84 68,RELEASE,20,63
H 84 69,RELEASE,15,38
H 84 70,RELEASE,17,52
H 84 71,SUPPRESS,7,0
H 84 72,SUPPRESS,9,0
H 84 73,SUPPRESS,7,0
H 84 74,SUPPRESS,8,0
H 84 75,SUPPRESS,9,0
H 84 76,RELEASE,14,76
H 84 77,RELEASE,33,79
H 84 78,RELEASE,23,64
H 84 79,SUPPRESS,5,0
H 84 80,SUPPRESS,5,0
H 84 81,SUPPRESS,10,0
H 84 82,RELEASE,14,46
H 84 83,RELEASE,14,39
H 84 84,RELEASE,19,53
H 84 85,RELEASE,14,52
H 84 86,RELEASE,19,58
H 84 87,RELEASE,13,44
H 84 88,RELEASE,13,48
H 84 89,RELEASE,10,38
H 84 90,SUPPRESS,9,0
H 84 91,RELEASE,16,43
H 84 92,SUPPRESS,6,0
H 84 93,RELEASE,12,40
H 84 94,SUPPRESS,11,0
H 84 95,SUPPRESS,7,0
H 84 96,RELEASE,12,32
H 84 97,RELEASE,10,33
